name,new_name,description,filter,scale,formula,comment
UNC_C_TOR_INSERTS.HIT,,,,,,
UNC_C_TOR_INSERTS.MISS,,,,,,
UNC_C_TOR_OCCUPANCY.EVICT,,,,,,
UNC_C_TOR_OCCUPANCY.PRQ,,,,,,
UNC_C_TOR_OCCUPANCY.IPQ,,,,,,
UNC_C_TOR_OCCUPANCY.HIT,,,,,,
UNC_C_TOR_OCCUPANCY.MISS,,,,,,
UNC_H_WB_PUSH_MTOI.LLC,,,,,,
UNC_H_WB_PUSH_MTOI.MEM,,,,,,
UNC_H_WRITE_NO_CREDITS.MC0_SMI0,,,,,,
UNC_H_WRITE_NO_CREDITS.MC1_SMI1,,,,,,
UNC_H_WRITE_NO_CREDITS.EDC0_SMI2,,,,,,
UNC_H_WRITE_NO_CREDITS.EDC1_SMI3,,,,,,
UNC_H_WRITE_NO_CREDITS.EDC2_SMI4,,,,,,
UNC_H_WRITE_NO_CREDITS.EDC3_SMI5,,,,,,
UNC_C_TOR_INSERTS.LOC_IO,,,,,,
UNC_C_TOR_INSERTS.LOC_IA,,,,,,
UNC_C_TOR_INSERTS.LOC_ALL,,,,,,
UNC_C_TOR_OCCUPANCY.LOC_IO,,,,,,
UNC_C_TOR_OCCUPANCY.LOC_IA,,,,,,
UNC_C_TOR_OCCUPANCY.LOC_ALL,,,,,,
UNC_H_CORE_PMA.C1_STATE,,,,,,
UNC_H_CORE_PMA.C1_TRANSITION,,,,,,
UNC_H_CORE_PMA.C6_STATE,,,,,,
UNC_H_CORE_PMA.C6_TRANSITION,,,,,,
UNC_H_CORE_PMA.GV,,,,,,
UNC_H_SF_EVICTION.M_STATE,,,,,,
UNC_H_SF_EVICTION.E_STATE,,,,,,
UNC_H_SF_EVICTION.S_STATE,,,,,,
UNC_H_AG0_AD_CRD_ACQUIRED.TGR0,,,,,,
UNC_H_AG0_AD_CRD_ACQUIRED.TGR1,,,,,,
UNC_H_AG0_AD_CRD_ACQUIRED.TGR2,,,,,,
UNC_H_AG0_AD_CRD_ACQUIRED.TGR3,,,,,,
UNC_H_AG0_AD_CRD_ACQUIRED.TGR4,,,,,,
